#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 03 13 50 139  4.5  5.8  1.62  9.09  6.61 249 1018.9   2.9   7.3 999.0 99.0 99.00
2009 01 03 14 20 149  4.5  7.2 99.00 99.00 99.00 999 1019.0   3.1   7.3 999.0 99.0 99.00
2009 01 03 14 50 163  4.9  6.7  1.64  9.09  6.36 238 1019.1   3.1   7.4 999.0 99.0 99.00
2009 01 03 15 20 146  4.2  6.4 99.00 99.00 99.00 999 1019.4   3.2   7.5 999.0 99.0 99.00
2009 01 03 15 50 166  4.4  6.0  1.70  9.09  6.34 223 1019.7   2.8   7.7 999.0 99.0 99.00
2009 01 03 16 20 113  4.2  5.6 99.00 99.00 99.00 999 1020.0   1.8   7.7 999.0 99.0 99.00
2009 01 03 16 50  84  5.0  6.4  1.59  9.09  6.14 257 1020.3   1.9   7.7 999.0 99.0 99.00
2009 01 03 17 20 151  4.0  7.2 99.00 99.00 99.00 999 1020.5   3.5   7.6 999.0 99.0 99.00
2009 01 03 17 50 173  6.8  8.3  1.96  9.09  6.03 245 1020.6   3.9   7.7 999.0 99.0 99.00
2009 01 03 18 20 166  6.4  9.2 99.00 99.00 99.00 999 1020.8   3.9   7.7 999.0 99.0 99.00
2009 01 03 18 50 173  8.4 10.1  1.58  9.09  5.85 237 1020.8   3.8   7.6 999.0 99.0 99.00
2009 01 03 19 20 171  6.7  8.8 99.00 99.00 99.00 999 1020.6   4.2   7.7 999.0 99.0 99.00
2009 01 03 19 50 159  6.8  8.7  1.70  8.33  6.06 240 1020.5   4.3   7.7 999.0 99.0 99.00
2009 01 03 20 20 166  6.9  7.9 99.00 99.00 99.00 999 1020.5   4.1   7.8 999.0 99.0 99.00
2009 01 03 20 50 179  7.9  9.5  1.72  8.33  5.91 258 1020.1   4.5   7.8 999.0 99.0 99.00
2009 01 03 21 20 188  9.1 11.2 99.00 99.00 99.00 999 1020.0   4.6   7.8 999.0 99.0 99.00
2009 01 03 21 50 186  9.1 10.7  1.83  8.33  6.19 248 1019.9   4.5   7.8 999.0 99.0 99.00
2009 01 03 22 20 183  8.1 10.1 99.00 99.00 99.00 999 1020.0   4.5   7.8 999.0 99.0 99.00
2009 01 03 22 50 191  7.6  9.3  1.82  9.09  6.06 235 1020.2   4.7   7.7 999.0 99.0 99.00
2009 01 03 23 20 186  9.7 11.3 99.00 99.00 99.00 999 1020.1   5.0   7.7 999.0 99.0 99.00
2009 01 03 23 50 188  7.4  9.1  2.01  8.33  6.23 238 1020.6   5.0   7.6 999.0 99.0 99.00
2009 01 04 00 20 192  7.4  9.2 99.00 99.00 99.00 999 1020.7   5.1   7.6 999.0 99.0 99.00
2009 01 04 00 50 187  7.3  8.8  2.02  9.09  6.48 236 1020.7   5.1   7.6 999.0 99.0 99.00
2009 01 04 01 20 181  7.5  8.7 99.00 99.00 99.00 999 1020.4   4.8   7.6 999.0 99.0 99.00
2009 01 04 01 50 176  6.6  8.0  1.92 10.00  6.36 248 1020.4   5.0   7.6 999.0 99.0 99.00
2009 01 04 02 20 178  5.6  7.0 99.00 99.00 99.00 999 1020.6   5.1   7.6 999.0 99.0 99.00
2009 01 04 02 50 187  6.7  8.1  2.00  9.09  6.73 237 1020.9   4.9   7.6 999.0 99.0 99.00
2009 01 04 03 20 184  7.6  9.5 99.00 99.00 99.00 999 1020.9   5.2   7.6 999.0 99.0 99.00
